film_brand,film_name,film_type,iso
KODAK,COLORPLUS_200,CN,200
KODAK,ULTRAMAX_400,CN,400
KODAK,GOLD_200,CN,200
KODAK,PROTRA_160,CN,160
KODAK,PROTRA_400,CN,400
KODAK,PROTRA_800,CN,800
KODAK,E100,P,100
KODAK,PROIMAGE_100,CN,100
KODAK,EKTAR_100,CN,100
KODAK,TMAX_100,BW,100
KODAK,TMAX_400,BW,400
FUJI,C200,CN,200
FUJI,XTRA,CN,400
FUJI,VELVIA_50,P,50
FUJI,PROVIA_100,P,100
FUJI,ACROS,BW,100
FOMA,FOMAPAN_100,BW,100
FOMA,FOMAPAN_400,BW,400
KENTMERE,KENTMERE_400,BW,400
ILFORD,DELTA_100,BW,100
ILFORD,PANF_50,BW,50
ILFORD,XP2,BW,400
AGFA,VISTAPLUS_200,CN,200
AGFA,VISTAPLUS_400,CN,400
AGFA,APX_100,BW,100
LOMO,POTSDAM,BW,100
LOMO,BERLIN,BW,400